2020-04-18 21:57:58.653  INFO 1360 --- [restartedMain] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@42089fae: startup date [Sat Apr 18 21:57:58 CST 2020]; root of context hierarchy
2020-04-18 21:57:59.060  INFO 1360 --- [restartedMain] f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2020-04-18 21:57:59.157  INFO 1360 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$923a2313] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 21:58:00.646  INFO 1360 --- [restartedMain] c.e.e.server.EurekaServerApplication     : No active profile set, falling back to default profiles: default
2020-04-18 21:58:00.664  INFO 1360 --- [restartedMain] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1102cb0f: startup date [Sat Apr 18 21:58:00 CST 2020]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@42089fae
2020-04-18 21:58:02.239  INFO 1360 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=e774523b-fd2c-3ccc-bbce-c7ed32409d81
2020-04-18 21:58:02.253  INFO 1360 --- [restartedMain] f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2020-04-18 21:58:02.322  INFO 1360 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration' of type [org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration$$EnhancerBySpringCGLIB$$a84cc657] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 21:58:02.333  INFO 1360 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$923a2313] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 21:58:03.646  INFO 1360 --- [restartedMain] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8761 (http)
2020-04-18 21:58:03.658  INFO 1360 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service Tomcat
2020-04-18 21:58:03.659  INFO 1360 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/8.5.11
2020-04-18 21:58:03.830  INFO 1360 --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-04-18 21:58:03.830  INFO 1360 --- [localhost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3166 ms
2020-04-18 21:58:04.792  INFO 1360 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'metricsFilter' to: [/*]
2020-04-18 21:58:04.793  INFO 1360 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
2020-04-18 21:58:04.793  INFO 1360 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2020-04-18 21:58:04.794  INFO 1360 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpPutFormContentFilter' to: [/*]
2020-04-18 21:58:04.794  INFO 1360 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'requestContextFilter' to: [/*]
2020-04-18 21:58:04.794  INFO 1360 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'webRequestTraceFilter' to: [/*]
